urlid,alchemy_category,alchemy_category_score,avglinksize,commonlinkratio_1,commonlinkratio_2,commonlinkratio_3,commonlinkratio_4,compression_ratio,embed_ratio,frameTagRatio,hasDomainLink,html_ratio,image_ratio,lengthyLinkDomain,linkwordscore,news_front_page,non_markup_alphanum_characters,numberOfLinks,numwords_in_url,parametrizedLinkRatio,spelling_errors_ratio,label,Type,subdomain,webname,domain,countPath,website_type,website_type2,wordInHLT,wordError,lld_nol_prob,linkscorepredprob
4042,2,0.789131,2.055555556,0.6764705879999999,0.20588235300000002,0.047058824000000006,0.023529412000000003,0.443783175,0.0,0.09077381,0,0.24583118199999998,0.003883495,1,24,0.0,5424,170,8,0.15294117599999998,0.079129575,0.0,training,519,443,12,3,1518,833,1301.76,429.1988148,0.8540426485561954,0.5536389523657655
8471,8,0.5741470000000001,3.677966102,0.50802139,0.288770053,0.213903743,0.144385027,0.468648998,0.0,0.09870740300000001,0,0.203489628,0.08865248199999999,1,40,0.0,4973,187,9,0.181818182,0.12544802900000002,1.0,training,519,2813,12,4,2007,895,1989.2,623.853048217,0.8596637505099167,0.44845958507095707
1164,6,0.996526,2.382882883,0.562015504,0.321705426,0.120155039,0.042635659000000006,0.525448029,0.0,0.072447859,0,0.22640177,0.120535714,1,55,0.0,2240,258,11,0.166666667,0.057613169000000006,1.0,training,519,2277,12,2,1175,1343,1232.0,129.05349856,0.8649635770771975,0.16361417605920497
6684,6,0.801248,1.543103448,0.4,0.1,0.016666667,0.0,0.480724749,0.0,0.095860566,0,0.26565574399999997,0.035343035,0,24,0.0,2737,120,5,0.041666667000000004,0.100858369,1.0,training,519,991,12,3,453,714,656.88,276.04935595300003,0.5687917143928852,0.5536389523657655
9006,11,0.7191569999999999,2.676470588,0.5,0.222222222,0.12345679,0.043209877,0.446143274,0.0,0.024908425,0,0.228887247,0.050473185999999996,1,14,0.0,12032,162,10,0.09876543199999999,0.08256880700000001,0.0,training,0,429,12,2,528,81,1684.48,993.4678858240001,0.8682661034349995,0.5816791608108998
7018,0,0.6008133639871819,119.0,0.745454545,0.581818182,0.290909091,0.018181818,0.434639175,0.0,0.01984127,0,0.298299595,0.038636364,0,12,0.0,4368,55,3,0.054545455,0.08735632199999999,0.0,training,519,712,12,1,1110,0,524.16,381.57241449599996,0.44845958507095707,0.5976012530999557
8685,1,0.22111,0.773809524,0.215053763,0.053763440999999995,0.043010753,0.043010753,0.579596413,0.0,0.039568345,0,0.21897800899999997,0.311377246,0,21,0.0,1287,93,3,0.548387097,0.064327485,1.0,training,192,1472,50,3,453,714,270.27,82.789473195,0.5941027850878001,0.5061725259125543
3402,0,0.6008133639871819,1.8833333330000002,0.71969697,0.265151515,0.113636364,0.015151515,0.49934811,0.0,0.02661597,0,0.173745927,0.025830258,0,5,0.0,27656,132,4,0.06818181799999999,0.148550725,0.0,training,519,1817,12,3,525,1910,1382.8,4108.3188506,0.8368009196091724,0.5810956417872526
477,0,0.6008133639871819,0.471502591,0.190721649,0.036082473999999996,0.0,0.0,0.383199079,0.0,0.021705426,0,0.11496229,1.1366459629999999,0,17,0.0,2471,194,7,0.644329897,0.125,1.0,training,519,3882,12,4,2023,1428,420.07,308.875,0.8676111264579346,0.5913539154499929
6731,0,0.6008133639871819,2.41011236,0.469325153,0.101226994,0.018404908,0.003067485,0.465859401,0.0,0.012,0,0.205116573,0.20626151,1,14,0.0,11459,326,4,0.236196319,0.094412331,1.0,training,519,1693,12,5,453,714,1604.26,1081.870900929,0.8709169817721657,0.5816791608108998
